ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,totpop2019
Kinshasa,CD10,Bumbu,CD1000ZS06,494289
Kinshasa,CD10,Gombe,CD1000ZS07,106303
Kinshasa,CD10,Kalamu I,CD1000ZS08,173990
Kinshasa,CD10,Kalamu II,CD1000ZS09,155295
Kinshasa,CD10,Kasa-Vubu,CD1000ZS10,158490
Kinshasa,CD10,Kikimi,CD1000ZS11,306634
Kinshasa,CD10,Kimbanseke,CD1000ZS12,335566
Kinshasa,CD10,Kingabwa,CD1000ZS13,250124
Kinshasa,CD10,Kingasani,CD1000ZS14,264322
Kinshasa,CD10,Kinshasa,CD1000ZS15,199660
Kinshasa,CD10,Kintambo,CD1000ZS16,124849
Kinshasa,CD10,Kisenso,CD1000ZS17,516607
Kinshasa,CD10,Kokolo,CD1000ZS18,319761
Kinshasa,CD10,Lemba,CD1000ZS19,384135
Kinshasa,CD10,Limete,CD1000ZS20,223943
Kinshasa,CD10,Lingwala,CD1000ZS21,102623
Kinshasa,CD10,Makala,CD1000ZS22,366872
Kinshasa,CD10,Maluku I,CD1000ZS23,214567
Kinshasa,CD10,Maluku II,CD1000ZS24,78548
Kinshasa,CD10,Masina I,CD1000ZS25,398528
Kinshasa,CD10,Masina II,CD1000ZS26,329108
Kinshasa,CD10,Matete,CD1000ZS27,344004
Kinshasa,CD10,Mont Ngafula I,CD1000ZS28,294390
Kinshasa,CD10,Mont Ngafula II,CD1000ZS29,172461
Kinshasa,CD10,Ndjili,CD1000ZS30,384157
Kinshasa,CD10,Ngaba,CD1000ZS31,217055
Kinshasa,CD10,Ngiri-Ngiri,CD1000ZS32,193533
Kinshasa,CD10,Nsele,CD1000ZS33,209907
Kinshasa,CD10,Police,CD1000ZS34,152475
Kinshasa,CD10,Selembao,CD1000ZS35,415269
Kongo-Central,CD20,Boma,CD2002ZS01,172444
Kongo-Central,CD20,Masa,CD2015ZS01,127172
Kongo-Central,CD20,Sona-Bata,CD2015ZS02,115677
Kongo-Central,CD20,Kimvula,CD2019ZS01,83749
Kongo-Central,CD20,Kangu,CD2005ZS01,112400
Kongo-Central,CD20,Lukula,CD2005ZS02,217284
Kongo-Central,CD20,Kibunzi,CD2010ZS01,73126
Kongo-Central,CD20,Luozi,CD2010ZS02,96344
Kongo-Central,CD20,Mangembo,CD2010ZS03,87985
Kongo-Central,CD20,Kisantu,CD2017ZS01,196173
Kongo-Central,CD20,Ngidinga,CD2017ZS02,133566
Kongo-Central,CD20,Nselo,CD2017ZS03,95946
Kongo-Central,CD20,Matadi,CD2001ZS01,174295
Kongo-Central,CD20,Nzanza,CD2001ZS02,154564
Kongo-Central,CD20,Boko-Kivulu,CD2013ZS01,164356
Kongo-Central,CD20,Gombe-Matadi,CD2013ZS02,111495
Kongo-Central,CD20,Kimpangu,CD2013ZS03,138844
Kongo-Central,CD20,Kwilu-Ngongo,CD2013ZS04,167594
Kongo-Central,CD20,Mbanza-Ngungu,CD2013ZS05,120424
Kongo-Central,CD20,Boma Bungu,CD2003ZS01,86746
Kongo-Central,CD20,Kitona,CD2003ZS02,105411
Kongo-Central,CD20,Moanda,CD2003ZS03,152099
Kongo-Central,CD20,Inga,CD2009ZS01,87760
Kongo-Central,CD20,Seke-Banza,CD2009ZS02,159787
Kongo-Central,CD20,Kimpese,CD2011ZS01,212372
Kongo-Central,CD20,Nsona-Mpangu,CD2011ZS02,121614
Kongo-Central,CD20,Kinkonzi,CD2007ZS01,75920
Kongo-Central,CD20,Kizu,CD2007ZS02,70227
Kongo-Central,CD20,Kuimba,CD2007ZS03,94027
Kongo-Central,CD20,Tshela,CD2007ZS04,96646
Kongo-Central,CD20,Vaku,CD2007ZS05,80943
Kwango,CD31,Feshi,CD3103ZS01,152548
Kwango,CD31,Kisanji,CD3103ZS02,121401
Kwango,CD31,Mwela Lembwa,CD3103ZS03,101373
Kwango,CD31,Kahemba,CD3105ZS01,261120
Kwango,CD31,Kajiji,CD3105ZS02,157126
Kwango,CD31,Kasongo Lunda,CD3106ZS01,174247
Kwango,CD31,Kitenda,CD3106ZS02,157029
Kwango,CD31,Panzi,CD3106ZS03,179095
Kwango,CD31,Tembo,CD3106ZS04,129882
Kwango,CD31,Wamba Lwadi,CD3106ZS05,116705
Kwango,CD31,Boko,CD3102ZS01,215172
Kwango,CD31,Kenge,CD3102ZS02,291462
Kwango,CD31,Kimbau,CD3102ZS03,185111
Kwango,CD31,Popokabaka,CD3108ZS01,192033
Kwilu,CD32,Bagata,CD3202ZS01,176098
Kwilu,CD32,Kikongo,CD3202ZS02,200270
Kwilu,CD32,Sia,CD3202ZS03,117352
Kwilu,CD32,Bandundu,CD3201ZS01,197033
Kwilu,CD32,Bulungu,CD3204ZS01,282945
Kwilu,CD32,Djuma,CD3204ZS02,219282
Kwilu,CD32,Lusanga,CD3204ZS04,242762
Kwilu,CD32,Pay Kongila,CD3204ZS05,160090
Kwilu,CD32,Vanga,CD3204ZS03,298018
Kwilu,CD32,Gungu,CD3210ZS01,242187
Kwilu,CD32,Kingandu,CD3210ZS02,108325
Kwilu,CD32,Mukedi,CD3210ZS03,180455
Kwilu,CD32,Idiofa,CD3206ZS01,291236
Kwilu,CD32,Ipamu,CD3206ZS02,203609
Kwilu,CD32,Kimputu,CD3206ZS03,202198
Kwilu,CD32,Koshibanda,CD3206ZS04,189770
Kwilu,CD32,Mokala,CD3206ZS05,222501
Kwilu,CD32,Mungindu,CD3206ZS06,126509
Kwilu,CD32,Kikwit-Nord,CD3203ZS01,222254
Kwilu,CD32,Kikwit-Sud,CD3203ZS02,269236
Kwilu,CD32,Masi-Manimba,CD3212ZS01,173002
Kwilu,CD32,Moanza,CD3212ZS02,199890
Kwilu,CD32,Mosango,CD3212ZS03,125076
Kwilu,CD32,Yasa-Bonga,CD3212ZS04,221916
Lomami,CD81,Kabinda,CD8102ZS01,300211
Lomami,CD81,Kalonda Est,CD8102ZS02,247355
Lomami,CD81,Ludimbi Lukula,CD8102ZS03,166483
Lomami,CD81,Kamiji,CD8105ZS01,105909
Lomami,CD81,Kamana,CD8108ZS01,206805
