"","HZ","p_cm","expert","p_cm_val","expert_date","horizon_end_date","horizon_start_date","delay","total_horizon","month","type","reported_cases","score_log","score_bri"
"163","KATWA",">=20",7,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"164","KATWA",">=20",12,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"165","KATWA",">=20",15,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"166","KATWA",">=6",7,0.053,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.0544561856904622,0.053
"167","KATWA",">=6",12,0.053,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.0544561856904622,0.053
"168","KATWA",">=6",15,0.053,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.0544561856904622,0.053
"169","LOLWA",">=10",7,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"170","LOLWA",">=10",12,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"171","LOLWA",">=10",15,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"172","LOLWA",">=2",7,0.006,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00601807222495939,0.006
"173","LOLWA",">=2",12,0.006,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00601807222495939,0.006
"174","LOLWA",">=2",15,0.006,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00601807222495939,0.006
"175","LOLWA",">=20",7,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"176","LOLWA",">=20",12,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"177","LOLWA",">=20",15,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"178","LOLWA",">=6",7,0.002,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00200200257047267,0.002
"179","LOLWA",">=6",12,0.002,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00200200257047267,0.002
"180","LOLWA",">=6",15,0.002,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00200200257047267,0.002
"181","MABALAKO",">=10",7,0.296,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-1.21739582499591,0.704
"182","MABALAKO",">=10",12,0.296,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-1.21739582499591,0.704
