"","expert","HZ","p_cm","p_cm_val","expert_date","horizon_end_date","horizon_start_date","delay","total_horizon","month","type","reported_cases","institution","last.in.field","experience.ide","score_bri","score_log"
"31",7,"MANDIMA",">=20",0.5,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.5,-0.693147180359945
"32",7,"MANDIMA",">=6",1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"33",7,"NYAKUNDE",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"34",7,"NYAKUNDE",">=2",0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.05,-0.0512932942822874
"35",7,"NYAKUNDE",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"36",7,"NYAKUNDE",">=6",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"37",7,"OICHA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"38",7,"OICHA",">=2",0.25,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago","<5 years",0.75,-1.38629436151989
"39",7,"OICHA",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"40",7,"OICHA",">=6",0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.05,-0.0512932942822874
